Title,Link,keywords,publicationDate,authors,publication,abstract
NemaFlex: A microfluidics-based technology for standardized measurement of muscular strength of C. elegans.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6057834/,['Elegans'],2023-02-12,"['Dr. Ben Carter', 'Dr. Kenji Tanaka', 'Dr. Catherine Martinez']",Space Medicine Review,This research paper investigates nemaflex: a microfluidics-based technology for standardized measurement of muscular strength of c. elegans.. The research supports development of countermeasures for space travel.
"Swim exercise in Caenorhabditis elegans extends neuromuscular and gut healthspan, enhances learning ability, and protects against neurodegeneration",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6876156/,"['Caenorhabditis', 'Gene', 'Elegans', 'Rat']",2022-04-13,"['Dr. Elena Petrov', 'Dr. Sofia Rossi', 'Dr. Robert Garcia']",Space Life Sciences,"This research paper investigates swim exercise in caenorhabditis elegans extends neuromuscular and gut healthspan, enhances learning ability, and protects against neurodegeneration. The study provides new insights into the biological mechanisms involved."
Molecular muscle experiment: Hardware and operational lessons for future astrobiology space experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7415877/,"['Muscle', 'Rat', 'Space']",2023-11-03,"['Dr. Maria Gonzalez', 'Dr. Ben Carter']",Life Support & Space Habitation,This research paper investigates molecular muscle experiment: hardware and operational lessons for future astrobiology space experiments. The research supports development of countermeasures for space travel.
Tart Cherry Increases Lifespan in Caenorhabditis elegans by Altering Metabolic Signaling Pathways,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7285199/,"['Caenorhabditis', 'Elegans']",2024-12-10,"['Dr. Ben Carter', 'Dr. Aisha Khan']",International Journal of Space Biology,This research paper investigates tart cherry increases lifespan in caenorhabditis elegans by altering metabolic signaling pathways. This work advances our knowledge of biological responses to microgravity.
A region of UNC-89 (obscurin) lying between two protein kinase domains is a highly elastic spring required for proper sarcomere organization,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9549344/,"['Organ', 'Protein']",2022-05-07,['Dr. Jennifer Lee'],Space Life Sciences,This research paper investigates a region of unc-89 (obscurin) lying between two protein kinase domains is a highly elastic spring required for proper sarcomere organization. The research supports development of countermeasures for space travel.
NemaLife chip: a micropillar-based microfluidic culture device optimized for aging studies in crawling C. elegans,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7530743/,"['Aging', 'Elegans']",2021-01-12,"['Dr. Catherine Martinez', 'Dr. Samuel Jones', 'Dr. Kenji Tanaka']",Space Medicine Review,This research paper investigates nemalife chip: a micropillar-based microfluidic culture device optimized for aging studies in crawling c. elegans. The research supports development of countermeasures for space travel.
Spaceflight affects neuronal morphology and alters transcellular degradation of neuronal debris in adult Caenorhabditis elegans,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890410/,"['Caenorhabditis', 'Space', 'Cell', 'Elegans', 'Spaceflight']",2023-05-04,"['Dr. Lisa Park', 'Dr. Ben Carter', 'Dr. Sofia Rossi', 'Dr. Kenji Tanaka']",Life Support & Space Habitation,This research paper investigates spaceflight affects neuronal morphology and alters transcellular degradation of neuronal debris in adult caenorhabditis elegans. This work advances our knowledge of biological responses to microgravity.
Microfluidics-integrated spaceflight hardware for measuring muscle strength of Caenorhabditis elegans on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9640571/,"['Muscle', 'Space', 'Caenorhabditis', 'International Space Station', 'Rat', 'Elegans', 'Spaceflight']",2022-02-02,"['Dr. James Rodriguez', 'Dr. Ben Carter', 'Dr. Kenji Tanaka', 'Dr. Aisha Khan']",Space Life Sciences,This research paper investigates microfluidics-integrated spaceflight hardware for measuring muscle strength of caenorhabditis elegans on the international space station.. The research supports development of countermeasures for space travel.
A Compact Imaging Platform for Conducting C. elegans Phenotypic Assays on Earth and in Spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9862956/,"['Aging', 'Spaceflight', 'Elegans', 'Space']",2023-11-24,"['Dr. Jian Li', 'Dr. Sofia Rossi']",Journal of Astrobiology,This research paper investigates a compact imaging platform for conducting c. elegans phenotypic assays on earth and in spaceflight.. The research supports development of countermeasures for space travel.
Mitochondrial sulfide promotes life span and health span through distinct mechanisms in developing versus adult treated Caenorhabditis elegans.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10410709/,"['Caenorhabditis', 'Elegans']",2020-06-03,"['Dr. Eva Rostova', 'Dr. Lisa Park']",International Journal of Space Biology,This research paper investigates mitochondrial sulfide promotes life span and health span through distinct mechanisms in developing versus adult treated caenorhabditis elegans.. Our findings contribute to understanding adaptation in space environments.
Bisphosphonates attenuate age-related muscle decline in Caenorhabditis elegans.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10751425/,"['Muscle', 'Caenorhabditis', 'Elegans']",2021-02-17,"['Dr. Michael Brown', 'Dr. Robert Garcia', 'Dr. Jian Li']",Gravitational and Space Research,This research paper investigates bisphosphonates attenuate age-related muscle decline in caenorhabditis elegans.. The research supports development of countermeasures for space travel.
Spaceflight Induces Strength Decline in Caenorhabditis elegans,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10605753/,"['Spaceflight', 'Caenorhabditis', 'Elegans', 'Space']",2022-04-08,"['Dr. Amanda Taylor', 'Dr. Eva Rostova']",Journal of Astrobiology,This research paper investigates spaceflight induces strength decline in caenorhabditis elegans. Our findings contribute to understanding adaptation in space environments.
Metabolic model predictions enable targeted microbiome manipulation through precision prebiotics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10846184/,[],2023-12-27,"['Dr. Catherine Martinez', 'Dr. Aisha Khan', 'Dr. Ben Carter']",Radiation Research,This research paper investigates metabolic model predictions enable targeted microbiome manipulation through precision prebiotics.. This work advances our knowledge of biological responses to microgravity.
Transcriptomics analysis reveals molecular alterations underpinning spaceflight dermatology.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166967/,"['Rat', 'Spaceflight', 'Space']",2023-01-03,"['Dr. Ben Carter', 'Dr. Michael Brown', 'Dr. Kenji Tanaka', 'Dr. Thomas Anderson']",Gravitational and Space Research,This research paper investigates transcriptomics analysis reveals molecular alterations underpinning spaceflight dermatology.. The results have implications for long-duration space missions.
Identification and characterization of a skin microbiome on Caenorhabditis elegans suggests environmental microbes confer cuticle protection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11302229/,"['Caenorhabditis', 'Elegans']",2022-07-05,"['Dr. Lisa Park', 'Dr. Eva Rostova', 'Dr. David Kim', 'Dr. Ben Carter']",Space Life Sciences,This research paper investigates identification and characterization of a skin microbiome on caenorhabditis elegans suggests environmental microbes confer cuticle protection. The study provides new insights into the biological mechanisms involved.
Protein kinase 2 of the giant sarcomeric protein UNC-89 regulates mitochondrial morphology and function,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11487192/,['Protein'],2023-11-06,"['Dr. Thomas Anderson', 'Dr. Jian Li', 'Dr. Ben Carter', 'Dr. Sarah Wilson']",Microgravity Science and Technology,This research paper investigates protein kinase 2 of the giant sarcomeric protein unc-89 regulates mitochondrial morphology and function. Our findings contribute to understanding adaptation in space environments.
New perspectives on viable microbial communities in low-biomass cleanroom environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3554398/,[],2023-02-08,"['Dr. Amanda Taylor', 'Dr. Lisa Park', 'Dr. Jennifer Lee']",Life Support & Space Habitation,This research paper investigates new perspectives on viable microbial communities in low-biomass cleanroom environments. The results have implications for long-duration space missions.
Microbial existence in controlled habitats and their resistance to space conditions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10370681/,['Space'],2021-02-06,"['Dr. Catherine Martinez', 'Dr. Samuel Jones', 'Dr. Ben Carter']",Life Support & Space Habitation,This research paper investigates microbial existence in controlled habitats and their resistance to space conditions. The results have implications for long-duration space missions.
Microbiomes of the dust particles collected from the International Space Station and Spacecraft assembly facilities,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4624184/,"['International Space Station', 'Space']",2024-05-14,"['Dr. David Kim', 'Dr. Samuel Jones']",Aerospace Medicine and Human Performance,This research paper investigates microbiomes of the dust particles collected from the international space station and spacecraft assembly facilities. This work advances our knowledge of biological responses to microgravity.
"Draft genome sequences of two Aspergillus fumigatus strains, isolated from the International Space Station",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4945788/,"['International Space Station', 'Space']",2021-03-08,"['Dr. Eva Rostova', 'Dr. Jennifer Lee']",Microgravity Science and Technology,"This research paper investigates draft genome sequences of two aspergillus fumigatus strains, isolated from the international space station. This work advances our knowledge of biological responses to microgravity."
Characterization of Aspergillus fumigatus isolates from air and surfaces of the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9116463/,"['International Space Station', 'Space']",2020-07-11,['Dr. Lisa Park'],Space Life Sciences,This research paper investigates characterization of aspergillus fumigatus isolates from air and surfaces of the international space station.. The study provides new insights into the biological mechanisms involved.
Draft genome sequences of biosafety level 2 opportunistic pathogens isolated from the environmental surfaces of the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5201052/,"['International Space Station', 'Space']",2020-06-13,"['Dr. Samuel Jones', 'Dr. Jian Li']",Life Support & Space Habitation,This research paper investigates draft genome sequences of biosafety level 2 opportunistic pathogens isolated from the environmental surfaces of the international space station.. The results have implications for long-duration space missions.
Draft Genome Sequences of Several Fungal Strains Selected for Exposure to Microgravity at the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5391430/,"['International Space Station', 'Microgravity', 'Fungal', 'Space']",2023-11-17,"['Dr. Samuel Jones', 'Dr. Ben Carter', 'Dr. Sofia Rossi', 'Dr. Robert Garcia']",Radiation Research,This research paper investigates draft genome sequences of several fungal strains selected for exposure to microgravity at the international space station.. The study provides new insights into the biological mechanisms involved.
Human presence impacts fungal diversity of inflated lunar/Mars analog habitat.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5504618/,"['Human', 'Lunar', 'Fungal', 'Mars']",2023-01-09,['Dr. Eva Rostova'],Journal of Astrobiology,This research paper investigates human presence impacts fungal diversity of inflated lunar/mars analog habitat.. The research supports development of countermeasures for space travel.
Whole metagenome profiles of particulates collected from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5580210/,"['International Space Station', 'Space']",2024-09-23,['Dr. Eva Rostova'],Space Life Sciences,This research paper investigates whole metagenome profiles of particulates collected from the international space station. The study provides new insights into the biological mechanisms involved.
Microbial Characteristics of ISS Environmental Surfaces,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8421509/,['Iss'],2024-10-08,"['Dr. Robert Garcia', 'Dr. Eva Rostova', 'Dr. Lisa Park']",Space Medicine Review,This research paper investigates microbial characteristics of iss environmental surfaces. The research supports development of countermeasures for space travel.
"Draft Genome Sequences from a Novel Clade of Bacillus cereus Sensu Lato Strains, Isolated from the International Space Station.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5552977/,"['International Space Station', 'Space']",2024-09-26,"['Dr. Samuel Jones', 'Dr. Kenji Tanaka', 'Dr. Lisa Park', 'Dr. David Kim']",Space Life Sciences,"This research paper investigates draft genome sequences from a novel clade of bacillus cereus sensu lato strains, isolated from the international space station.. Our findings contribute to understanding adaptation in space environments."
Draft Genome Sequences of Acinetobacter and Bacillus Strains Isolated from Spacecraft-Associated Surfaces,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5805884/,['Space'],2020-08-29,"['Dr. Lisa Park', 'Dr. Robert Garcia']",Journal of Exobiology,This research paper investigates draft genome sequences of acinetobacter and bacillus strains isolated from spacecraft-associated surfaces. The research supports development of countermeasures for space travel.
KatharoSeq enables high-throughput microbiome analysis from low-biomass samples,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5864415/,[],2024-07-23,"['Dr. Ben Carter', 'Dr. Catherine Martinez', 'Dr. Kenji Tanaka', 'Dr. Lisa Park']",Life Support & Space Habitation,This research paper investigates katharoseq enables high-throughput microbiome analysis from low-biomass samples. The results have implications for long-duration space missions.
Draft genome sequence of a clinical isolate of Fusarium fujikuroi isolated from a male patient with acute myeloid leukemia.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6013642/,[],2021-10-20,"['Dr. Lisa Park', 'Dr. Thomas Anderson', 'Dr. Richard Chen', 'Dr. Michael Brown']",International Journal of Space Biology,This research paper investigates draft genome sequence of a clinical isolate of fusarium fujikuroi isolated from a male patient with acute myeloid leukemia.. This work advances our knowledge of biological responses to microgravity.
"Draft Genome Sequence of Solibacillus kalamii, Isolated from an Air Filter Aboard the International Space Station",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5578834/,"['International Space Station', 'Space']",2022-02-23,"['Dr. Samuel Jones', 'Dr. Thomas Anderson', 'Dr. David Kim']",Microgravity Science and Technology,"This research paper investigates draft genome sequence of solibacillus kalamii, isolated from an air filter aboard the international space station. The results have implications for long-duration space missions."
Detection of antimicrobial resistance genes associated with the International Space Station environmental surfaces,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9241228/,"['International Space Station', 'Gene', 'Space']",2021-03-28,['Dr. Thomas Anderson'],Gravitational and Space Research,This research paper investigates detection of antimicrobial resistance genes associated with the international space station environmental surfaces. This work advances our knowledge of biological responses to microgravity.
Draft genome sequences of two Fusarium oxysporum isolates cultured from infected Zinnia hybrida plants grown on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5958250/,"['International Space Station', 'Space']",2024-02-28,['Dr. Ben Carter'],International Journal of Space Biology,This research paper investigates draft genome sequences of two fusarium oxysporum isolates cultured from infected zinnia hybrida plants grown on the international space station.. The research supports development of countermeasures for space travel.
Characterization of Aspergillus niger Isolated from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7326050/,"['International Space Station', 'Space']",2021-06-29,['Dr. Richard Chen'],International Journal of Space Biology,This research paper investigates characterization of aspergillus niger isolated from the international space station. Our findings contribute to understanding adaptation in space environments.
Multi-drug resistant Enterobacter bugandensis species isolated from the International Space Station and comparative genomic analyses with human pathogenic strains,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6251167/,"['Human', 'International Space Station', 'Rat', 'Space']",2021-12-17,['Dr. Elena Petrov'],Journal of Exobiology,This research paper investigates multi-drug resistant enterobacter bugandensis species isolated from the international space station and comparative genomic analyses with human pathogenic strains. This work advances our knowledge of biological responses to microgravity.
Succession and persistence of microbial communities and antimicrobial resistance genes associated with International Space Station environmental surfaces,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6280456/,"['International Space Station', 'Gene', 'Space']",2021-12-11,"['Dr. Samuel Jones', 'Dr. David Kim']",Space Life Sciences,This research paper investigates succession and persistence of microbial communities and antimicrobial resistance genes associated with international space station environmental surfaces. The study provides new insights into the biological mechanisms involved.
"International Space Station conditions alter genomics, proteomics, and metabolomics in Aspergillus nidulans.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9098231/,"['International Space Station', 'Space']",2024-06-19,"['Dr. Elena Petrov', 'Dr. Michael Brown', 'Dr. Thomas Anderson', 'Dr. Amanda Taylor']",Aerospace Medicine and Human Performance,"This research paper investigates international space station conditions alter genomics, proteomics, and metabolomics in aspergillus nidulans.. This work advances our knowledge of biological responses to microgravity."
Proteomic characterization of Aspergillus fumigatus isolated from air and surfaces of the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9116463/,"['International Space Station', 'Space']",2024-04-21,"['Dr. James Rodriguez', 'Dr. Jennifer Lee', 'Dr. Catherine Martinez']",Journal of Exobiology,This research paper investigates proteomic characterization of aspergillus fumigatus isolated from air and surfaces of the international space station.. This work advances our knowledge of biological responses to microgravity.
Genomic Characterization and Virulence Potential of Two Fusarium oxysporum Isolates Cultured from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6426649/,"['International Space Station', 'Space']",2022-08-06,"['Dr. Sarah Wilson', 'Dr. Jian Li', 'Dr. Samuel Jones', 'Dr. Robert Garcia']",Journal of Exobiology,This research paper investigates genomic characterization and virulence potential of two fusarium oxysporum isolates cultured from the international space station. The research supports development of countermeasures for space travel.
Characterization of the total and viable bacterial and fungal communities associated with the International Space Station surfaces.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452512/,"['International Space Station', 'Bacteria', 'Fungal', 'Space']",2024-04-16,['Dr. Jennifer Lee'],Radiation Research,This research paper investigates characterization of the total and viable bacterial and fungal communities associated with the international space station surfaces.. The study provides new insights into the biological mechanisms involved.
Proteomic and Metabolomic Characteristics of Extremophilic Fungi Under Simulated Mars Conditions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6529585/,['Mars'],2022-10-21,"['Dr. Catherine Martinez', 'Dr. James Rodriguez']",Space Medicine Review,This research paper investigates proteomic and metabolomic characteristics of extremophilic fungi under simulated mars conditions.. This work advances our knowledge of biological responses to microgravity.
MetaMiner: A Scalable Peptidogenomics Approach for Discovery of Ribosomal Peptide Natural Products with Blind Modifications from Microbial Communities,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6952069/,[],2023-10-03,['Dr. Kenji Tanaka'],Radiation Research,This research paper investigates metaminer: a scalable peptidogenomics approach for discovery of ribosomal peptide natural products with blind modifications from microbial communities. The results have implications for long-duration space missions.
Draft Genome Sequences of Sphingomonas Species Associated with the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7303416/,"['International Space Station', 'Space']",2022-04-28,"['Dr. David Kim', 'Dr. Richard Chen', 'Dr. Maria Gonzalez', 'Dr. Elena Petrov']",Microgravity Science and Technology,This research paper investigates draft genome sequences of sphingomonas species associated with the international space station. The results have implications for long-duration space missions.
Draft Genome Sequences of Tremellomycetes Strains Isolated from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7317102/,"['International Space Station', 'Space']",2022-11-25,"['Dr. Kenji Tanaka', 'Dr. Catherine Martinez']",Space Medicine Review,This research paper investigates draft genome sequences of tremellomycetes strains isolated from the international space station. The study provides new insights into the biological mechanisms involved.
Draft Genome Sequences of Rhodotorula mucilaginosa Strains Isolated from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7393961/,"['International Space Station', 'Space']",2023-05-26,"['Dr. Sofia Rossi', 'Dr. Eva Rostova', 'Dr. Thomas Anderson', 'Dr. Jian Li']",Life Support & Space Habitation,This research paper investigates draft genome sequences of rhodotorula mucilaginosa strains isolated from the international space station. Our findings contribute to understanding adaptation in space environments.
Draft Genome Sequences of Enterobacteriales Strains Isolated from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7484075/,"['International Space Station', 'Bacteria', 'Space']",2023-02-06,"['Dr. James Rodriguez', 'Dr. David Kim']",Aerospace Medicine and Human Performance,This research paper investigates draft genome sequences of enterobacteriales strains isolated from the international space station. The results have implications for long-duration space missions.
Draft Genome Sequences of Lactobacillales Isolated from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7516158/,"['International Space Station', 'Space']",2023-06-18,"['Dr. Michael Brown', 'Dr. David Kim', 'Dr. Aisha Khan', 'Dr. Sarah Wilson']",International Journal of Space Biology,This research paper investigates draft genome sequences of lactobacillales isolated from the international space station. The research supports development of countermeasures for space travel.
Draft Genome Sequences of Klebsiella Species Isolated from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7561690/,"['International Space Station', 'Space']",2022-04-10,"['Dr. Kenji Tanaka', 'Dr. Catherine Martinez', 'Dr. Robert Garcia', 'Dr. Samuel Jones']",Gravitational and Space Research,This research paper investigates draft genome sequences of klebsiella species isolated from the international space station. The research supports development of countermeasures for space travel.
Draft Genome Sequences of Bacillaceae Strains Isolated from the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7595942/,"['International Space Station', 'Space']",2022-09-19,"['Dr. Jennifer Lee', 'Dr. Richard Chen']",Gravitational and Space Research,This research paper investigates draft genome sequences of bacillaceae strains isolated from the international space station.. The results have implications for long-duration space missions.
Assessing the risk of transfer of microorganisms at the International Space Station due to cargo delivery by commercial resupply vehicles,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7677455/,"['Liver', 'International Space Station', 'Organ', 'Space']",2022-01-30,"['Dr. Thomas Anderson', 'Dr. James Rodriguez', 'Dr. Michael Brown']",Radiation Research,This research paper investigates assessing the risk of transfer of microorganisms at the international space station due to cargo delivery by commercial resupply vehicles. The research supports development of countermeasures for space travel.
"Methylobacterium ajmalii sp. nov., isolated from the International Space Station",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8005752/,"['International Space Station', 'Space']",2024-10-09,"['Dr. Aisha Khan', 'Dr. Sofia Rossi', 'Dr. Maria Gonzalez']",International Journal of Space Biology,"This research paper investigates methylobacterium ajmalii sp. nov., isolated from the international space station. This work advances our knowledge of biological responses to microgravity."
Draft Genome Sequences of Aspergillus and Penicillium Species Isolated from the International Space Station and Crew Resupply Vehicle Capsule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8104057/,"['International Space Station', 'Space']",2020-01-09,"['Dr. Catherine Martinez', 'Dr. Sarah Wilson']",Gravitational and Space Research,This research paper investigates draft genome sequences of aspergillus and penicillium species isolated from the international space station and crew resupply vehicle capsule. The study provides new insights into the biological mechanisms involved.
Advances in Space Microbiology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12034939/,['Space'],2020-09-08,"['Dr. James Rodriguez', 'Dr. Lisa Park', 'Dr. Michael Brown', 'Dr. Samuel Jones']",Journal of Exobiology,This research paper investigates advances in space microbiology. Our findings contribute to understanding adaptation in space environments.
Effects of simulated microgravity on the proteome and secretome of the polyextremotolerant black fungus Knufia chersonesos.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8012687/,['Microgravity'],2023-05-19,"['Dr. Elena Petrov', 'Dr. Robert Garcia', 'Dr. Kenji Tanaka', 'Dr. Catherine Martinez']",Journal of Astrobiology,This research paper investigates effects of simulated microgravity on the proteome and secretome of the polyextremotolerant black fungus knufia chersonesos.. The research supports development of countermeasures for space travel.
Draft Genome Sequences of Various Bacterial Phyla Isolated from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8086211/,"['International Space Station', 'Bacteria', 'Space']",2024-10-15,"['Dr. Catherine Martinez', 'Dr. Sofia Rossi', 'Dr. Maria Gonzalez']",Space Medicine Review,This research paper investigates draft genome sequences of various bacterial phyla isolated from the international space station. Our findings contribute to understanding adaptation in space environments.
Evaluating the lettuce metatranscriptome with MinION sequencing for future spaceflight food production applications,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8211661/,"['Spaceflight', 'Space']",2023-12-11,"['Dr. Michael Brown', 'Dr. Jian Li', 'Dr. Richard Chen', 'Dr. Elena Petrov']",International Journal of Space Biology,This research paper investigates evaluating the lettuce metatranscriptome with minion sequencing for future spaceflight food production applications. This work advances our knowledge of biological responses to microgravity.
Investigation of Spaceflight Induced Changes to Astronaut Microbiomes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988970/,"['Spaceflight', 'Astronaut', 'Space']",2024-03-18,['Dr. Lisa Park'],Aerospace Medicine and Human Performance,This research paper investigates investigation of spaceflight induced changes to astronaut microbiomes. This work advances our knowledge of biological responses to microgravity.
Genomic Characterization of Potential Plant Growth-Promoting Features of Sphingomonas Strains Isolated from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8754149/,"['International Space Station', 'Growth', 'Space']",2024-01-16,"['Dr. Sofia Rossi', 'Dr. Samuel Jones', 'Dr. Kenji Tanaka', 'Dr. Robert Garcia']",Space Medicine Review,This research paper investigates genomic characterization of potential plant growth-promoting features of sphingomonas strains isolated from the international space station. The results have implications for long-duration space missions.
"Genomic Characterization of the Titan-like Cell Producing Naganishia tulchinskyi, the First Novel Eukaryote Isolated from the International Space Station",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8875396/,"['International Space Station', 'Cell', 'Space']",2020-05-20,"['Dr. Samuel Jones', 'Dr. Elena Petrov']",Journal of Astrobiology,"This research paper investigates genomic characterization of the titan-like cell producing naganishia tulchinskyi, the first novel eukaryote isolated from the international space station. The research supports development of countermeasures for space travel."
Metabolic modeling of the International Space Station microbiome reveals key microbial interactions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9258157/,"['International Space Station', 'Space']",2021-01-24,['Dr. Jennifer Lee'],Gravitational and Space Research,This research paper investigates metabolic modeling of the international space station microbiome reveals key microbial interactions.. Our findings contribute to understanding adaptation in space environments.
"Microbial Burden Estimation of Food Items, Built Environments, and the International Space Station Using Film Media",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9503880/,"['International Space Station', 'Space']",2021-06-08,"['Dr. Kenji Tanaka', 'Dr. Elena Petrov', 'Dr. Richard Chen']",Aerospace Medicine and Human Performance,"This research paper investigates microbial burden estimation of food items, built environments, and the international space station using film media. The results have implications for long-duration space missions."
Multidrug-resistant Acinetobacter pittii is adapting to and exhibiting potential succession aboard the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9743659/,"['International Space Station', 'Space']",2022-10-05,"['Dr. Amanda Taylor', 'Dr. David Kim']",Journal of Exobiology,This research paper investigates multidrug-resistant acinetobacter pittii is adapting to and exhibiting potential succession aboard the international space station.. The research supports development of countermeasures for space travel.
Characterization of metagenome-assembled genomes from the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,"['International Space Station', 'Space']",2022-08-29,"['Dr. Thomas Anderson', 'Dr. Jian Li', 'Dr. Kenji Tanaka']",Space Medicine Review,This research paper investigates characterization of metagenome-assembled genomes from the international space station.. Our findings contribute to understanding adaptation in space environments.
Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/,"['International Space Station', 'Rat', 'Space']",2022-08-31,"['Dr. Catherine Martinez', 'Dr. Kenji Tanaka', 'Dr. Amanda Taylor', 'Dr. Sofia Rossi']",Journal of Astrobiology,This research paper investigates comparative genomic analysis of cohnella hashimotonis sp. nov. isolated from the international space station. The research supports development of countermeasures for space travel.
Genomic analysis reveals the presence of emerging pathogenic Klebsiella lineages aboard the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10715203/,"['International Space Station', 'Space']",2022-01-08,['Dr. Michael Brown'],Journal of Astrobiology,This research paper investigates genomic analysis reveals the presence of emerging pathogenic klebsiella lineages aboard the international space station. The study provides new insights into the biological mechanisms involved.
"Phylogenomics, phenotypic, and functional traits of five novel (Earth-derived) bacterial species isolated from the International Space Station and their prevalence in metagenomes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10628120/,"['International Space Station', 'Bacteria', 'Space']",2024-08-06,"['Dr. Robert Garcia', 'Dr. Catherine Martinez', 'Dr. Jennifer Lee']",Gravitational and Space Research,"This research paper investigates phylogenomics, phenotypic, and functional traits of five novel (earth-derived) bacterial species isolated from the international space station and their prevalence in metagenomes. This work advances our knowledge of biological responses to microgravity."
"Genomic, functional, and metabolic enhancements in multidrug-resistant Enterobacter bugandensis facilitating its persistence and succession in the International Space Station",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10960378/,"['International Space Station', 'Space']",2020-02-16,"['Dr. Samuel Jones', 'Dr. Lisa Park', 'Dr. Richard Chen']",Gravitational and Space Research,"This research paper investigates genomic, functional, and metabolic enhancements in multidrug-resistant enterobacter bugandensis facilitating its persistence and succession in the international space station. Our findings contribute to understanding adaptation in space environments."
